Areaname;Obama vote percent, 2008 (n);Population, 2013 estimate / Land area in square miles, 2010 (n);Population, percent change - April 1, 2010 to July 1, 2013 (n);Persons 65 years and over, percent, 2013 (n);Female persons, percent, 2013 (n);White alone, percent, 2013 (n);Black or African American alone, percent, 2013 (n);American Indian and Alaska Native alone, percent, 2013 (n);Asian alone, percent, 2013 (n);Native Hawaiian and Other Pacific Islander alone, percent, 2013 (n);Hispanic or Latino, percent, 2013 (n);White alone, not Hispanic or Latino, percent, 2013 (n);Language other than English spoken at home, pct age 5+, 2008-2012 (n);Bachelor's degree or higher, percent of persons age 25+, 2008-2012 (n);Median household income, 2008-2012 (n);Persons below poverty level, percent, 2008-2012 (n)
Autauga, AL;-1.1360914508849485;-0.09761783122525876;0.25867007626415933;-0.8362612914682693;0.6968800072452435;-0.4406592158742433;0.6383515401822617;-0.2273153386303384;-0.09175952352172007;-0.01810789455986609;-0.45829273443586077;-0.07551781560439914;-0.5314595738793548;0.25284846795399535;0.6831337952039793;-0.7296777754952319
Baldwin, AL;-1.2807686857336917;-0.08067895383810818;2.1482152653060482;0.21490359288140418;0.5633227888400874;0.12519590547458584;0.022164723979563702;-0.20106030006958747;-0.166727078091194;-0.01810789455986609;-0.31646753338125494;0.28709845497810677;-0.3402672921843928;0.9373076446702958;0.425380304580446;-0.4655407781273891
Barbour, AL;0.542164473360475;-0.13274591498137672;-0.5467098403766457;-0.2878274387640919;-1.5290736328407115;-2.1566763773560176;2.6599981731169566;-0.21418781934996292;-0.31666218723014183;0.08787555535010179;-0.30153856484919117;-1.566273594665815;-0.3576484087021166;-0.5685025441055652;-1.1560176194701008;1.5232554373481326
Bibb, AL;-1.078220556945451;-0.12961246992490552;-0.6706144429367695;-0.6534500072335434;-1.751668996849307;-0.5513700004859705;0.8945190929856308;-0.24044285791071388;-0.4291135190843527;-0.01810789455986609;-0.5030796400320521;-0.14099019779290783;-0.6357462729856977;-1.1959234560955072;-0.7412756969963032;0.03165827574149118
Blount, AL;-1.9535178277803487;-0.09941158206639587;0.1967177749840974;-0.1735703861173887;0.29620835202977214;0.6602980310979352;-0.5109407237463661;-0.21418781934996292;-0.3916297417996157;-0.01810789455986609;-0.010423678473947593;0.5238062982750209;-0.16645612700715454;-0.8080632559562703;-0.03802130849362082;-0.24801619205975417
Bullock, AL;2.3578637707122043;-0.14036228244913712;-0.8874474974169864;-0.5848957756455214;-2.107821579263059;-3.57131418072809;4.203926937310234;-0.18793278078921197;-0.3916297417996157;0.723776254809909;-0.07760403686823454;-2.780030833698927;-0.3750295252198404;-0.8651015206826287;-0.9365867867286448;0.9172940904454343
Butler, AL;0.11536663055668206;-0.1352882520751332;-1.135256702537234;0.12349795076404081;1.5427423904779056;-1.9045018124070832;2.383060278194396;-0.24044285791071388;-0.12924330080645705;-0.12409134446983397;-0.570259998426339;-1.2036573240833084;-0.618365156467974;-0.751024991229912;-1.25157214142607;1.4611055556145223
Calhoun, AL;-0.6007856819445977;-0.041416234171819104;-0.5776859910166767;-0.37923308088145485;0.7859181528486829;-0.5698217979212582;0.8114377245088623;-0.2273153386303384;-0.20421085537593095;-0.01810789455986609;-0.3985768603076057;-0.21653525416426334;-0.38372008347870235;-0.39738774992649006;-0.4665459412583409;0.792994326978214
Chambers, AL;0.28897931237517405;-0.11771779688563029;-0.11304373141621223;0.14634936129338186;0.9194753712538389;-1.6277248508777646;2.0715051464065146;-0.2666978964714648;-0.24169463266066793;-0.01810789455986609;-0.5105441242980839;-1.0072401775177842;-0.6531273895034215;-0.9677703971900738;-1.131477671878946;1.0882062652128621
Cherokee, AL;-1.2880025474761292;-0.12332144327232385;0.1347654737040355;0.6719318034682186;0.2071702064263327;0.48808125503524824;-0.32400764467363746;-0.2273153386303384;-0.4291135190843527;-0.12409134446983397;-0.5478665456282434;0.7252597819319689;-0.6791990642800073;-0.7282096853393687;-0.7902715512622048;0.49778238874356656
Chilton, AL;-1.5050183997492441;-0.11424258395818238;0.10378932306400451;-0.5163415440574991;0.38524649763320845;0.13749710376477794;0.07755230296407593;-0.2273153386303384;-0.35414596451487873;0.08787555535010179;-0.0850685211342664;0.16622636478393837;-0.17514668526601643;-0.7966556030109987;-0.40427162219996526;0.35794515484294415
Choctaw, AL;0.33238248282979715;-0.14170618887710448;-1.0733044012571722;0.7176346245268999;1.1420707352624344;-1.7876404286502594;2.3207492518368196;-0.2666978964714648;-0.3916297417996157;-0.12409134446983397;-0.6075824197564985;-1.0878215709805634;-0.6965801807977312;-0.8651015206826287;-0.8842292958064207;0.6065446817773841
Clarke, AL;0.18047138623861647;-0.13851903577590208;-0.8564713467769554;0.07779512970535953;1.231108880865874;-1.9168030106972749;2.42460096243278;-0.24044285791071388;-0.31666218723014183;-0.12409134446983397;-0.5627955141603072;-1.2187663353575795;-0.6791990642800073;-0.7738402971204554;-1.234595876311641;1.5698678486483397
Clay, AL;-1.1360914508849485;-0.1374055908085129;-1.1042805518972032;0.4205662876454703;0.38524649763320845;-0.13927985776454055;0.3614136452597009;-0.21418781934996292;-0.4291135190843527;-0.12409134446983397;-0.41350582883966946;0.1309720051439723;-0.5314595738793548;-1.2187387619860506;-0.9318804954097932;0.5443948000437742
Cleburne, AL;-1.7003326667950478;-0.1349031405064749;-0.08206758077618126;0.19205218235206314;0.2071702064263327;0.5803402422116877;-0.3863186710312137;-0.24044285791071388;-0.4291135190843527;-0.01810789455986609;-0.49561515576602017;0.7655504786633583;-0.6270557147268359;-1.138885191369149;-0.7059785121049162;0.2647203322425289
Coffee, AL;-1.1794946213395716;-0.10771312937762144;0.506479281384407;-0.3563816703521142;0.16265113362461295;-0.5267676039055863;0.5760405138246856;-0.10916766510695915;0.058175585617227694;0.29984245517003755;-0.1671778480606172;-0.29711664762704226;-0.17514668526601643;0.3555173444614407;-0.08558846718058524;0.12488309834190647
Colbert, AL;-0.17398783914080476;-0.09814731930504733;-0.0510914301361503;0.21490359288140418;0.8749562984521192;-0.274593038956652;0.49988259272098123;-0.21418781934996292;-0.31666218723014183;-0.12409134446983397;-0.47322170296792454;0.07053596004688777;-0.5836029234325263;-0.16923469102105654;-0.4610832816918167;-0.014954135558716468
